Constituency Name,Winning Candidate,Runner up Candidate,Party ,Alliance, EVM Votes,Postal Votes,Total Votes,Margin
INDORE,SHANKAR LALWANI,NOTA, BJP,NDA,1558311,3657,1561968,1175092
DHUBRI,RAKIBUL HUSSAIN,MOHAMMED BADRUDDIN AJMAL, INC,I.N.D.I.A.,2445683,7925,2453608,1012476
VIDISHA,SHIVRAJ SINGH CHOUHAN,PRATAPBHANU SHARMA, BJP,NDA,1449038,6620,1455658,821408
NAVSARI,C R PATIL,NAISHADHBHAI BHUPATBHAI  DESAI, BJP,NDA,1326543,11673,1338216,773551
GANDHINAGAR,AMIT SHAH,SONAL RAMANBHAI PATEL, BJP,NDA,1304840,16962,1321802,744716
DIAMONDHARBOUR,ABHISHEK BANERJEE,ABHIJIT DAS (BOBBY), AITC,I.N.D.I.A.,1524223,6594,1530817,710930
TRIPURAWEST,BIPLAB KUMAR DEB,ASISH KUMAR SAHA, BJP,NDA,1192487,17322,1209809,611578
VADODARA,DR. HEMANG JOSHI,PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU), BJP,NDA,1200380,11769,1212149,582126
RAIPUR,BRIJMOHAN AGRAWAL,VIKAS UPADHYAY, BJP,NDA,1582240,4515,1586755,575285
TIRUVALLUR,Sasikanth Senthil,"Balaganapathy, V. Pon", INC,I.N.D.I.A.,1413947,3865,1417812,572155
NALGONDA,KUNDURU RAGHUVEER,SAIDI REDDY SHANAMPUDI, INC,I.N.D.I.A.,1277136,19188,1296324,559905
GAUTAMBUDDHANAGAR,DR. MAHESH SHARMA,DR. MAHENDRA SINGH NAGAR, BJP,NDA,1433370,3874,1437244,559472
KHAJURAHO,VISHNU DATT SHARMA (V.D.SHARMA),KAMLESH KUMAR, BJP,NDA,1138109,2461,1140570,541229
GUNA,JYOTIRADITYA M. SCINDIA,YADVENDRA RAO DESHRAJ SINGH, BJP,NDA,1368520,5246,1373766,540929
PANCHMAHAL,RAJPALSINH MAHENDRASINH JADAV,GULABSINH SOMSINH CHAUHAN, BJP,NDA,1116210,15287,1131497,509342
VISAKHAPATNAM,SRIBHARAT MATHUKUMILI,JHANSI LAKSHMI. BOTCHA., TDP,NDA,1366795,20330,1387125,504247
BHOPAL,ALOK SHARMA,ADVOCATE ARUN SHRIVASTAVA, BJP,NDA,1494415,3870,1498285,501499
MANDSOUR,SUDHEER GUPTA,DILIP SINGH GURJAR, BJP,NDA,1428345,5147,1433492,500655
SRIPERUMBUDUR,T R BAALU,G PREMKUMAR, DMK,I.N.D.I.A.,1435381,5554,1440935,487029
TRIPURAEAST,KRITI DEVI DEBBARMAN,RAJENDRA REANG, BJP,NDA,1121664,12681,1134345,486819
JABALPUR,ASHISH DUBEY,DINESH YADAV, BJP,NDA,1156434,2111,1158545,486674
RAJKOT,PARSHOTTAMBHAI RUPALA,DHANANI PARESH, BJP,NDA,1260778,12764,1273542,484260
SAGAR,DR. LATA WANKHEDE,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA', BJP,NDA,1147932,2617,1150549,471222
JOYNAGAR,PRATIMA MONDAL,ASHOK KANDARY, AITC,I.N.D.I.A.,1477368,5263,1482631,470219
KHAMMAM,RAMASAHAYAM RAGHURAM REDDY,NAMA NAGESWARA RAO, INC,I.N.D.I.A.,1240582,10701,1251283,467847
AHMEDABADEAST,HASMUKHBHAI PATEL (H.S.PATEL),HIMMATSINH PRAHLADSINH PATEL, BJP,NDA,1114791,13548,1128339,461755
BHAVNAGAR,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),UMESHBHAI NARANBHAI MAKWANA, BJP,NDA,1031533,15699,1047232,455289
DINDIGUL,SACHITHANANTHAM R,MOHAMED MUBARAK M A, CPI(M),I.N.D.I.A.,1143174,6447,1149621,443821
DURG,VIJAY BAGHEL,RAJENDRA SAHU, BJP,NDA,1539539,3248,1542787,438226
HOSHANGABAD,DARSHAN SINGH CHOUDHARY,SANJAY SHARMA SANJU BHAIYA, BJP,NDA,1247358,2334,1249692,431696
DEWAS,MAHENDRA SINGH SOLANKY,RAJENDRA RADHAKISHAN MALVIYA, BJP,NDA,1464796,4308,1469104,425225
DAMOH,RAHUL SINGH LODHI,TARBAR SINGH LODHI (BANTU BHAIYA), BJP,NDA,1087123,1821,1088944,406426
TIKAMGARH,DR. VIRENDRA KUMAR,KHUMAN URF PANKAJ AHIRWAR, BJP,NDA,1096402,1988,1098390,403312
CHHOTAUDAIPUR,JASHUBHAI BHILUBHAI RATHVA,SUKHRAMBHAI HARIYABHAI RATHWA, BJP,NDA,1258990,8729,1267719,398777
SHAHDOL,SMT. HIMADRI SINGH,PHUNDE LAL SINGH MARKO, BJP,NDA,1149082,2931,1152013,397340
THOOTHUKKUDI,KANIMOZHI KARUNANIDHI,SIVASAMY VELUMANI R, DMK,I.N.D.I.A.,973066,5460,978526,392738
RAJSAMAND,MAHIMA KUMARI MEWAR,DR. DAMODAR GURJAR, BJP,NDA,1203306,9824,1213130,392223
MALKAJGIRI,EATALA RAJENDER,PATNAM SUNEETHA MAHENDER REDDY, BJP,NDA,1915185,18658,1933843,391475
RAEBARELI,RAHUL GANDHI,DINESH PRATAP SINGH, INC,I.N.D.I.A.,1036644,2575,1039219,390030
CHITTORGARH,CHANDRA PRAKASH JOSHI,ANJANA UDAILAL, BJP,NDA,1488902,9831,1498733,389877
PERAMBALUR,ARUN NEHRU,CHANDRAMOHAN N D, DMK,I.N.D.I.A.,1119859,9367,1129226,389107
PORBANDAR,DR. MANSUKH MANDAVIYA,LALIT VASOYA, BJP,NDA,916558,12419,928977,383360
BETUL,DURGADAS (D. D.) UIKEY,RAMU TEKAM, BJP,NDA,1393686,2334,1396020,379761
KODARMA,ANNPURNA DEVI,VINOD KUMAR SINGH, BJP,NDA,1360792,9172,1369964,377014
UJJAIN,ANIL FIROJIYA,MAHESH PARMAR, BJP,NDA,1326071,2509,1328580,375860
SHILLONG,DR. RICKY ANDREW J. SYNGKON,VINCENT H. PALA, VOTPP,OTHER,1033451,4460,1037911,371910
JHALAWAR-BARAN,DUSHYANT SINGH,URMILA JAIN “BHAYA”, BJP,NDA,1415552,5779,1421331,370989
WAYANAD,RAHUL GANDHI,ANNIE RAJA, INC,I.N.D.I.A.,1075706,8947,1084653,364422
SONITPUR,RANJIT DUTTA,PREMLAL GANJU, BJP,NDA,1281074,7394,1288468,361408
KHEDA,DEVUSINH CHAUHAN,KALUSINH DABHI, BJP,NDA,1164397,11451,1175848,357758
MUMBAINORTH,PIYUSH GOYAL,BHUSHAN PATIL, BJP,NDA,1032503,2990,1035493,357608
BHILWARA,DAMODAR AGARWAL,C P JOSHI, BJP,NDA,1296244,8151,1304395,354606
MAHABUBABAD,BALRAM NAIK PORIKA,KAVITHA MALOTH, INC,I.N.D.I.A.,1100480,8306,1108786,349165
ROHTAK,DEEPENDER SINGH HOODA,DR. ARVIND KUMAR SHARMA, INC,I.N.D.I.A.,1239652,8794,1248446,345298
GUNTUR,DR CHANDRA SEKHAR PEMMASANI,KILARI VENKATA ROSAIAH, TDP,NDA,1404061,21310,1425371,344695
AMALAPURAM(SC),G M HARISH (BALAYOGI),RAPAKA VARAPRASADA RAO, TDP,NDA,1284957,16149,1301106,342196
CHENNAINORTH,DR.KALANIDHI VEERASWAMY,R. MANOHAR, DMK,I.N.D.I.A.,899330,3159,902489,339222
HYDERABAD,ASADUDDIN OWAISI,MADHAVI LATHA KOMPELLA, AIMIM,OTHER,1073544,6780,1080324,338087
UTTARAKANNADA,VISHWESHWAR HEGDE KAGERI,DR. ANJALI NIMBALKAR, BJP,NDA,1256012,6749,1262761,337428
GHAZIABAD,ATUL GARG,DOLLY SHARMA, BJP,NDA,1468608,1822,1470430,336965
NAINITAL-UDHAMSINGHNAGAR,AJAY BHATT,PRAKASH JOSHI, BJP,NDA,1255964,10052,1266016,334548
DAHOD,JASWANTSINH SUMANBHAI BHABHOR,DR. PRABHABEN KISHORSINH TAVIYAD, BJP,NDA,1112249,6045,1118294,333677
BASIRHAT,SK NURUL ISLAM,REKHA PATRA, AITC,I.N.D.I.A.,1519128,4273,1523401,333547
JAIPUR,MANJU SHARMA,PRATAP SINGH KHACHARIYAWAS, BJP,NDA,1449110,14148,1463258,331767
DHANBAD,DULU MAHATO,ANUPAMA SINGH, BJP,NDA,1414710,13297,1428007,331583
AJMER,BHAGIRATH CHOUDHARY,RAMCHANDRA CHOUDHARY, BJP,NDA,1190576,10603,1201179,329991
OSMANABAD,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,ARCHANA RANAJAGJITSINH PATIL, SHSUBT,I.N.D.I.A.,1273099,7953,1281052,329846
DARRANG-UDALGURI,DILIP SAIKIA,MADHAB RAJBANGSHI, BJP,NDA,1804194,7006,1811200,329012
MAHESANA,HARIBHAI PATEL,RAMJI THAKOR, BJP,NDA,1059316,17511,1076827,328046
SRIKAKULAM,KINJARAPU RAMMOHAN NAIDU,TILAK PERADA, TDP,NDA,1208912,26774,1235686,327901
BOLPUR,ASIT KUMAR MAL,PIYA SAHA, AITC,I.N.D.I.A.,1520408,8062,1528470,327253
AMRELI,BHARATBHAI MANUBHAI SUTARIYA,JENNY THUMMAR, BJP,NDA,871373,5053,876426,321068
THANJAVUR,MURASOLI S,SIVANESAN P, DMK,I.N.D.I.A.,1022796,5910,1028706,319583
TIRUCHIRAPPALLI,DURAI VAIKO,KARUPPAIAH. P, MDMK,I.N.D.I.A.,1048165,7799,1055964,313094
ARAKKONAM,S JAGATHRATCHAKAN,L VIJAYAN, DMK,I.N.D.I.A.,1156724,7098,1163822,306559
MALAPPURAM,E.T.  MOHAMMED BASHEER,V. VASEEF, IUML,I.N.D.I.A.,1078038,7144,1085182,300118
ANAKAPALLE,C.M.RAMESH,BUDI MUTYALA NAIDU, BJP,NDA,1306348,18984,1325332,296530
MATHURA,HEMAMALINI DHARMENDRA DEOL,MUKESH DHANGAR, BJP,NDA,953522,3524,957046,293407
NORTH-WESTDELHI,YOGENDER CHANDOLIYA,UDIT RAJ, BJP,NDA,1482638,4569,1487207,290849
PALAMAU,VISHNU DAYAL RAM,MAMTA BHUIYAN, BJP,NDA,1373737,17001,1390738,288807
AHMEDABADWEST,DINESHBHAI MAKWANA (ADVOCATE),BHARAT YOGENDRA MAKWANA, BJP,NDA,957571,9075,966646,286437
MANDYA,H.D. KUMARASWAMY,VENKATARAMANE GOWDA (STAR CHANDRU), JD(S),NDA,1453087,7180,1460267,284620
VIJAYAWADA,KESINENI SIVANATH (CHINNI),KESINENI SRINIVAS  (NANI), TDP,NDA,1347527,16878,1364405,282085
ANANTNAG-RAJOURI,MIAN ALTAF AHMAD,MEHBOOBA MUFTI, JKN,I.N.D.I.A.,1017520,8628,1026148,281794
DIBRUGARH,SARBANANDA SONOWAL,LURINJYOTI GOGOI, BJP,NDA,1273727,4595,1278322,279321
THENI,THANGA TAMILSELVAN,TTV DHINAKARAN, DMK,I.N.D.I.A.,1133569,7650,1141219,278825
BANGALORESOUTH,TEJASVI SURYA,SOWMYA REDDY, BJP,NDA,1245188,4154,1249342,277083
NARSAPURAM,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),UMABALA GUDURI, BJP,NDA,1217351,13643,1230994,276802
HAZARIBAGH,MANISH JAISWAL,JAI PRAKASH BHAI PATEL, BJP,NDA,1249093,15574,1264667,276686
BULANDSHAHR,DR BHOLA SINGH,SHIVRAM, BJP,NDA,1049325,5074,1054399,275134
TEHRIGARHWAL,MALA RAJYA LAKSHMI SHAH,JOT SINGH GUNSOLA, BJP,NDA,846803,15238,862041,272493
RAVER,KHADSE RAKSHA NIKHIL,SHRIRAM DAYARAM PATIL, BJP,NDA,1169365,2301,1171666,272183
AGRA,PROF S P SINGH BAGHEL,SURESH CHAND KARDAM, BJP,NDA,1119183,4596,1123779,271294
MAYILADUTHURAI,SUDHA R,BABU P, INC,I.N.D.I.A.,1083416,4292,1087708,271183
KHANDWA,GYANESHWAR PATIL,NARENDRA PATEL, BJP,NDA,1509810,2732,1512542,269971
BANGALORERURAL,DR C N MANJUNATH,D K SURESH, BJP,NDA,1914024,5516,1919540,269647
KACHCHH,CHAVDA VINOD LAKHAMSHI,NITESH PARBATBHAI LALAN (MATANG), BJP,NDA,1090881,4276,1095157,268782
SIRSA,SELJA,ASHOK TANWAR, INC,I.N.D.I.A.,1351949,2683,1354632,268497
SILCHAR,PARIMAL SUKLABAIDYA,SURYA KANTA SARKAR, BJP,NDA,1082612,6814,1089426,264311
SURENDRANAGAR,CHANDUBHAI CHHAGANBHAI SHIHORA,RUTVIKBHAI LAVJIBHAI MAKWANA, BJP,NDA,1120179,11198,1131377,261617
UDAIPUR,MANNA LAL RAWAT,TARACHAND MEENA, BJP,NDA,1487355,11021,1498376,261608
CHANDRAPUR,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,MUNGANTIWAR SUDHIR SACCHIDANAND, INC,I.N.D.I.A.,1238291,3013,1241304,260406
JAMSHEDPUR,BIDYUT BARAN MAHATO,SAMIR KUMAR MOHANTY, BJP,NDA,1264240,13389,1277629,259782
BANGALORENORTH,SHOBHA KARANDLAJE,PROFESSOR M.V RAJEEV GOWDA, BJP,NDA,1747729,4775,1752504,259476
UDUPICHIKMAGALUR,KOTA SRINIVAS POOJARY,K. JAYAPRAKASH HEGDE, BJP,NDA,1222939,6479,1229418,259175
JADAVPUR,SAYANI GHOSH,DR. ANIRBAN GANGULY, AITC,I.N.D.I.A.,1558207,8302,1566509,258201
POLLACHI,ESWARASAMY K,KARTHIKEYAN A, DMK,I.N.D.I.A.,1120439,5606,1126045,252042
KANGRA,DR RAJEEV BHARDWAJ,ANAND SHARMA, BJP,NDA,1019345,17523,1036868,251895
BARGARH,PRADEEP PUROHIT,PARINITA MISHRA, BJP,NDA,1300266,9598,1309864,251667
JALGAON,SMITA UDAY WAGH,KARAN BALASAHEB PATIL - PAWAR, BJP,NDA,1165216,4337,1169553,251594
GUWAHATI,BIJULI KALITA MEDHI,MIRA BORTHAKUR GOSWAMI, BJP,NDA,1594699,4690,1599389,251090
ERNAKULAM,HIBI EDEN,K. J. SHINE TEACHER, INC,I.N.D.I.A.,904102,6400,910502,250385
VIZIANAGARAM,APPALANAIDU KALISETTI,BELLANA CHANDRASEKHAR, TDP,NDA,1278710,20532,1299242,249351
KAZIRANGA,KAMAKHYA PRASAD TASA,ROSELINA TIRKEY, BJP,NDA,1623167,6770,1629937,248947
HATHRAS,ANOOP PRADHAN BALMIKI,JASVEER VALMIKI, BJP,NDA,1079010,3710,1082720,247318
BANSWARA,RAJ KUMAR ROAT,MAHENDRAJEETSINGH MALVIYA, BHRTADVSIP,I.N.D.I.A.,1625747,11105,1636852,247054
NELLORE,PRABHAKAR REDDY VEMIREDDY,VENUMBAKA VIJAYASAI REDDY, TDP,NDA,1352418,23231,1375649,245902
PALI,P. P. CHAUDHARY,SANGEETA BENIWAL, BJP,NDA,1340018,13824,1353842,245351
CHENNAICENTRAL,DAYANIDHI MARAN,VINOJ, DMK,I.N.D.I.A.,727305,3244,730549,244689
SHIMOGA,B.Y.RAGHAVENDRA,GEETHA SHIVARAJKUMAR, BJP,NDA,1372668,4556,1377224,243715
NILGIRIS,RAJA A,DR MURUGAN L, DMK,I.N.D.I.A.,1013616,5290,1018906,240585
RAIGARH,RADHESHYAM RATHIYA,DR. MENKA DEVI SINGH, BJP,NDA,1449708,3257,1452965,240391
RAJAHMUNDRY,DAGGUBATI PURANDHESHWARI,DR. GUDURI SRINIVAS, BJP,NDA,1311751,13546,1325297,239139
JAMNAGAR,POONAMBEN HEMATBHAI MAADAM,ADVOCATE J. P. MARAVIYA, BJP,NDA,1047992,3243,1051235,238008
DAUSA,MURARI LAL MEENA,KANHAIYA LAL MEENA, INC,I.N.D.I.A.,1058583,14151,1072734,237340
ERODE,K E PRAKASH,ASHOK KUMAR, DMK,I.N.D.I.A.,1086406,7017,1093423,236566
PONNANI,DR. M.P ABDUSSAMAD SAMADANI,K.S HAMZA, IUML,I.N.D.I.A.,1019932,6364,1026296,235760
MUZAFFARPUR,RAJ BHUSHAN CHOUDHARY,AJAY NISHAD, BJP,NDA,1110095,2365,1112460,234927
ALMORA,AJAY TAMTA,PRADEEP TAMTA, BJP,NDA,652412,16085,668497,234097
TIRUVANNAMALAI,"ANNADURAI, C.N.",KALIYAPERUMAL M, DMK,I.N.D.I.A.,1137264,9009,1146273,233931
KARNAL,MANOHAR LAL,DIVYANSHU BUDHIRAJA, BJP,NDA,1341197,4695,1345892,232577
BARDOLI,PARBHUBHAI NAGARBHAI VASAVA,CHAUDHARY SIDDHARTH AMARSINH, BJP,NDA,1324475,14858,1339333,230253
KAKINADA,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),CHALAMALASETTY SUNIL, JnP,NDA,1312770,17033,1329803,229491
CHENNAISOUTH,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,DR.TAMILISAI SOUNDARARAJAN, DMK,I.N.D.I.A.,1095926,3395,1099321,225945
KARIMNAGAR,BANDI SANJAY KUMAR,VELCHALA RAJENDER RAO, BJP,NDA,1302447,10405,1312852,225209
MACHILIPATNAM,BALASHOWRY VALLABHANENI,SIMHADRI CHANDRA SEKHAR RAO, JnP,NDA,1292057,19947,1312004,223179
BARPETA,PHANI BHUSAN CHOUDHURY,DEEP BAYAN, AGP,NDA,1675229,10714,1685943,222351
BHONGIR,CHAMALA KIRAN KUMAR REDDY,DR. BOORA NARSAIAH GOUD, INC,I.N.D.I.A.,1388579,12817,1401396,222170
MAINPURI,DIMPLE YADAV,JAYVEER SINGH, SP,I.N.D.I.A.,1051023,2988,1054011,221639
KANCHEEPURAM,SELVAM. G,RAJASEKAR. E, DMK,I.N.D.I.A.,1253129,6449,1259578,221473
CHATRA,KALI CHARAN SINGH,KRISHNA NAND TRIPATHI, BJP,NDA,1074449,11925,1086374,220959
CHITTOOR(SC),DAGGUMALLA PRASADA RAO,REDDEPPA.N ., TDP,NDA,1400022,18835,1418857,220479
WARANGAL,KADIYAM KAVYA,AROORI RAMESH, INC,I.N.D.I.A.,1255435,12511,1267946,220339
MAYURBHANJ,NABA CHARAN MAJHI,SUDAM MARNDI, BJP,NDA,1165669,8381,1174050,219334
ULUBERIA,SAJDA AHMED,ARUNUDAY PAULCHOWDHURY, AITC,I.N.D.I.A.,1387012,3782,1390794,218673
DHAR,SAVITRI THAKUR,RADHESHYAM MUVEL, BJP,NDA,1422029,3015,1425044,218665
THANE,NARESH GANPAT MHASKE,RAJAN BABURAO VICHARE, SHS,NDA,1304427,4641,1309068,217011
BARABANKI,TANUJ PUNIA,RAJRANI RAWAT, INC,I.N.D.I.A.,1288381,2253,1290634,215704
VELLORE,DM KATHIR ANAND,AC SHANMUGAM, DMK,I.N.D.I.A.,1123625,5833,1129458,215702
NAGAON,PRADYUT BORDOLOI,SURESH BORAH, INC,I.N.D.I.A.,1544126,5872,1549998,212231
VALSAD,DHAVAL LAXMANBHAI PATEL,ANANTKUMAR HASMUKHBHAI PATEL, BJP,NDA,1351637,9774,1361411,210704
MADURAI,VENKATESAN S,RAAMA SREENIVASAN, CPI(M),I.N.D.I.A.,981623,5346,986969,209409
KALYAN,DR SHRIKANT EKNATH SHINDE,VAISHALI DAREKAR - RANE, SHS,NDA,1042476,3260,1045736,209144
NAGAPATTINAM,SELVARAJ V,DR SURSITH SANKAR G, CPI,I.N.D.I.A.,968049,4962,973011,208957
ARANI,THARANIVENTHAN M S,"GAJENDRAN, G.V.", DMK,I.N.D.I.A.,1132317,7944,1140261,208766
BAPATLA(SC),KRISHNA PRASAD TENNETI,NANDIGAM SURESH BABU, TDP,NDA,1282422,18323,1300745,208031
RATLAM,ANITA NAGARSINGH CHOUHAN,KANTILAL BHURIA, BJP,NDA,1528176,4467,1532643,207232
SIDHI,DR. RAJESH MISHRA,KAMLESHWAR INDRAJIT KUMAR, BJP,NDA,1145388,1876,1147264,206416
SIVAGANGA,KARTI P CHIDAMBARAM,XAVIERDASS A, INC,I.N.D.I.A.,1048358,5061,1053419,205664
BARAMULLA,ABDUL RASHID SHEIKH,OMAR ABDULLAH, IND,OTHER,1026457,7443,1033900,204142
JALORE,LUMBARAM,VAIBHAV GEHLOT, BJP,NDA,1444896,6230,1451126,201543
LAKHIMPUR,PRADAN BARUAH,UDAY SHANKAR HAZARIKA, BJP,NDA,1203562,7652,1211214,201257
MATHURAPUR,BAPI HALDAR,ASHOK PURKAIT, AITC,I.N.D.I.A.,1490330,5694,1496024,201057
WESTDELHI,KAMALJEET SEHRAWAT,MAHABAL MISHRA, BJP,NDA,1518075,6419,1524494,199013
BIRBHUM,SATABDI ROY,DEBTANU BHATTACHARYA, AITC,I.N.D.I.A.,1521048,6384,1527432,197650
KHADOORSAHIB,AMRITPAL SINGH,KULBIR SINGH ZIRA, IND,OTHER,1042796,4369,1047165,197120
TENKASI,DR RANI SRI KUMAR,DR K KRISHNASAMY, DMK,I.N.D.I.A.,1031307,7812,1039119,196199
REWA,JANARDAN MISHRA,NEELAM ABHAY MISHRA, BJP,NDA,914978,3151,918129,193374
KRISHNAGIRI,GOPINATH K,JAYAPRAKASH V, INC,I.N.D.I.A.,1160887,5269,1166156,192486
CHAMARAJANAGAR,SUNIL BOSE,BALARAJ.S, INC,I.N.D.I.A.,1365929,3868,1369797,188706
ANANTHAPUR,AMBICA G LAKSHMINARAYANA VALMIKI,MALAGUNDLA SANKAR NARAYANA, TDP,NDA,1420357,20071,1440428,188555
SRINAGAR,AGA SYED RUHULLAH MEHDI,WAHEED UR REHMAN PARA, JKN,I.N.D.I.A.,671933,3309,675242,188416
SAMASTIPUR,SHAMBHAVI,SUNNY HAZARI, LJPRV,NDA,1092821,1771,1094592,187251
KOLKATADAKSHIN,MALA ROY,DEBASREE CHAUDHURI, AITC,I.N.D.I.A.,1238425,5052,1243477,187231
RANAGHAT,JAGANNATH SARKAR,MUKUT MANI ADHIKARI, BJP,NDA,1531996,8636,1540632,186899
CUDDALORE,M.K. VISHNUPRASAD,P. SIVAKOZHUNDU, INC,I.N.D.I.A.,1021640,9923,1031563,185896
JHANJHARPUR,RAMPRIT MANDAL,SUMAN KUMAR MAHASETH, JD(U),NDA,1091394,2347,1093741,184169
PALGHAR,DR. HEMANT VISHNU SAVARA,BHARTI BHARAT KAMDI, BJP,NDA,1373159,2915,1376074,183306
GHATAL,ADHIKARI DEEPAK (DEV),DR. HIRANMOY CHATTOPADHYAYA, AITC,I.N.D.I.A.,1593450,7106,1600556,182868
